gene_id	HER2.1	HER2.2	HER2.3	NBS1	NBS2	NBS3	Non.TNBC1	Non.TNBC2	Non.TNBC3	TNBC1	TNBC2	TNBC3
ENSG00000005249	105	735	80	226	226	347	179	301	320	143	85	317
ENSG00000005302	339	218	355	326	376	240	360	135	181	355	84	179
ENSG00000005339	707	801	487	1381	2198	3328	350	651	610	390	127	422
ENSG00000005379	55	95	227	498	467	491	341	316	196	201	23	115
ENSG00000005381	1	0	4	11	6	6	6	17	7	20	6	26
ENSG00000005421	3	0	10	1	9	5	3	2	4	7	0	4
ENSG00000005436	172	251	280	262	314	333	298	155	243	254	39	181
ENSG00000005448	20	20	32	123	101	94	108	65	84	24	7	27
ENSG00000005469	203	55	57	281	204	269	3136	480	273	78	43	195
ENSG00000005471	16	2	15	32	4	17	32	20	19	27	2	51
ENSG00000005483	1015	1053	625	1472	1921	4207	293	363	402	430	64	343
ENSG00000005486	93	103	119	1092	538	468	339	192	136	153	48	148
ENSG00000005513	1	115	1	119	146	158	1	5	1	21	12	3
ENSG00000005700	542	984	749	511	882	1279	1758	559	590	636	141	661
ENSG00000005801	195	302	253	261	353	238	224	149	148	137	67	114
ENSG00000005810	2712	1848	2996	802	1245	1798	1050	620	901	2583	98	846
ENSG00000005812	491	332	621	871	1585	1946	1273	464	634	846	82	574
ENSG00000005844	313	97	315	76	100	61	187	129	185	303	14	190
ENSG00000005882	154	64	57	184	165	198	276	172	156	83	17	33
ENSG00000005884	491	100	109	1289	1585	1779	649	449	373	208	37	251
ENSG00000005889	576	755	1200	504	1007	1136	1015	1130	802	438	106	427
ENSG00000005893	951	1222	1356	3012	4828	5515	2897	1201	1777	947	470	1098
ENSG00000005961	9	3	6	12	16	16	13	23	12	19	3	20
ENSG00000005981	0	0	3	4	2	12	9	2	6	13	1	22
ENSG00000006007	336	166	292	990	794	1034	1263	539	421	267	143	225
ENSG00000006015	37	47	46	447	283	229	180	346	163	101	17	50
ENSG00000006016	13	51	24	289	221	277	77	34	27	41	19	22
ENSG00000006025	34	32	36	103	100	105	114	130	96	49	6	40
ENSG00000006042	72	24	70	677	456	522	92	100	170	105	34	127
ENSG00000006047	4	40	19	70	80	37	51	18	19	50	6	22
ENSG00000006059	0	0	0	1	1	2	3	2	0	3	0	16
ENSG00000006062	105	109	62	359	357	441	158	56	99	136	21	58
ENSG00000006071	1	1	3	229	217	276	42	67	46	72	1	172
ENSG00000006116	0	0	0	0	0	0	2	1	3	10	0	15
ENSG00000006118	390	231	488	586	774	422	354	800	843	113	332	557
ENSG00000006125	1185	1563	1150	4588	3375	5709	5992	2616	3167	1944	345	3420
ENSG00000006128	5	0	0	98	206	80	1	1	5	4	0	0
ENSG00000006194	121	194	83	358	213	315	283	210	162	134	24	113
ENSG00000006210	412	297	95	5909	10642	15096	33	64	89	782	77	308
ENSG00000006282	297	34	40	817	557	544	426	146	180	64	18	64
ENSG00000006283	3	1	0	77	270	216	17	43	34	39	1	25
ENSG00000006327	31	66	72	1924	2079	1689	226	69	108	61	59	110
ENSG00000006377	0	16	0	0	1	2	4	2	3	26	1	2
ENSG00000006432	87	122	134	398	598	820	319	81	116	131	28	157
ENSG00000006451	317	415	544	483	600	658	1516	451	576	499	153	622
ENSG00000006453	215	206	349	659	773	708	466	112	103	202	107	125
ENSG00000006459	704	1114	1120	338	1109	1738	675	254	342	303	72	410
ENSG00000006468	61	25	65	346	347	466	94	147	148	102	44	288
ENSG00000006530	260	611	283	254	225	202	337	153	151	265	41	155
ENSG00000006534	29	55	22	53	43	59	204	26	39	52	15	53
ENSG00000006555	19	79	16	53	63	67	232	6	12	105	27	23
ENSG00000006576	389	334	508	402	424	561	658	244	271	370	116	445
ENSG00000006606	0	0	0	2	6	2	0	1	2	7	0	10
ENSG00000006607	256	505	318	323	485	762	434	185	212	185	50	210
ENSG00000006611	0	10	0	16	4	3	13	10	8	36	0	47
ENSG00000006625	260	163	213	186	101	89	441	98	141	168	47	144
ENSG00000006634	134	234	194	120	86	153	110	42	39	146	17	48
ENSG00000006638	7	12	0	6	19	19	23	18	14	9	3	6
ENSG00000006652	65	195	98	599	727	428	139	37	53	185	21	61
ENSG00000006659	0	0	0	0	0	0	1	2	2	8	0	12
ENSG00000006695	89	196	83	111	164	231	146	81	94	105	33	50
ENSG00000006704	98	219	111	294	391	419	318	161	182	197	33	150
ENSG00000006712	107	125	116	2026	1951	2697	690	315	381	327	107	151
ENSG00000006715	487	428	500	515	544	666	895	584	523	356	136	602
ENSG00000006740	22	44	61	225	208	323	85	27	31	76	6	70
ENSG00000006744	173	529	240	513	607	675	452	294	247	292	76	140
ENSG00000006747	16	22	28	60	52	31	362	531	140	54	8	94
ENSG00000006756	478	94	440	1053	778	1112	404	769	863	612	166	291
ENSG00000006757	72	38	161	327	183	187	122	156	146	23	24	24
ENSG00000006788	26	3	11	8	22	16	12	12	21	38	0	60
ENSG00000006831	356	754	393	1674	1687	2472	1569	466	665	553	98	528
ENSG00000006837	5	6	3	4	3	3	6	9	8	5	3	13
ENSG00000007001	3	7	1	1	6	8	5	9	6	10	0	10
ENSG00000007038	3	96	0	138	22	21	4	6	4	145	2	7
ENSG00000007047	80	298	98	529	726	1058	178	137	175	123	20	103
ENSG00000007062	48	1458	221	1041	1502	1085	15	14	26	345	145	56
ENSG00000007080	50	87	37	691	525	526	199	71	79	113	25	50
ENSG00000007129	13	6	15	1	2	2	8	13	5	10	0	33
ENSG00000007168	859	1447	903	1329	2191	2389	2043	904	843	848	189	710
ENSG00000007171	1	31	3	2	7	10	17	17	10	25	0	139
ENSG00000007174	8	3	5	18	6	8	21	23	15	46	2	110
ENSG00000007202	1351	1871	4214	1610	1574	1450	3489	1560	1802	990	363	3066
ENSG00000007216	8	0	3	320	286	307	13	8	17	15	0	114
ENSG00000007237	319	60	230	366	1431	1645	495	318	566	153	70	400
ENSG00000007255	36	161	42	337	154	122	218	152	138	80	32	42
ENSG00000007264	15	7	19	35	115	29	30	44	16	26	9	13
ENSG00000007306	2	1	14	0	0	2	3	6	6	13	0	21
ENSG00000007312	10	13	23	23	38	22	10	11	15	29	2	20
ENSG00000007314	11	6	0	96	290	308	24	31	28	40	2	47
ENSG00000007341	99	117	100	224	239	210	270	146	141	165	28	87
ENSG00000007350	1	2	1	13	4	2	3	7	8	14	0	27
ENSG00000007372	8	9	13	15	13	23	34	26	28	35	3	35
ENSG00000007376	34	63	48	134	136	90	190	139	105	69	30	48
ENSG00000007384	90	85	68	691	699	463	189	190	169	87	22	62
ENSG00000007392	286	280	183	764	1005	902	270	407	312	160	42	196
ENSG00000007402	17	15	37	136	137	107	39	86	59	31	1	44
ENSG00000007516	41	34	28	152	183	151	226	166	113	36	34	73
ENSG00000007520	55	97	75	247	172	124	395	319	223	76	59	75
ENSG00000007541	85	45	56	374	195	136	185	221	172	51	25	63
ENSG00000007545	78	71	62	133	225	301	114	231	104	65	18	53
ENSG00000007866	59	130	83	648	905	1129	168	98	81	147	42	92
ENSG00000007908	77	12	121	2992	24783	27711	88	40	93	39	5	16
ENSG00000007923	148	281	182	390	414	351	508	400	286	218	82	149
ENSG00000007933	425	143	11	24	52	30	39	19	15	10	0	109
ENSG00000007944	277	376	198	2015	1167	3142	675	242	390	316	38	176
ENSG00000007952	2	2	6	2	1	3	2	10	6	15	0	13
ENSG00000007968	35	68	60	28	7	12	37	21	17	81	6	43
ENSG00000008018	307	489	413	1323	933	794	1741	407	373	371	129	287
ENSG00000008056	2	4	6	17	19	17	7	2	4	3	1	7
ENSG00000008083	327	590	383	263	734	672	365	158	254	343	108	197
ENSG00000008086	276	236	498	120	483	751	243	236	260	219	86	493
ENSG00000008118	3	4	2	21	24	42	9	3	6	14	0	32
ENSG00000008128	2	4	6	12	11	13	1	1	4	3	1	3
ENSG00000008130	136	174	241	473	712	562	845	330	261	270	130	145
ENSG00000008196	42	1	430	393	263	171	556	20	43	7	0	367
ENSG00000008197	0	0	0	0	1	0	1	0	4	9	0	18
ENSG00000008226	48	121	64	260	141	137	171	108	126	113	33	96
ENSG00000008256	133	163	93	455	805	953	223	376	324	234	92	308
ENSG00000008277	135	32	65	54	52	88	106	116	154	92	8	168
